<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INDEX.CSI300,D,20211129,190000,4820.0053,4858.5322,4818.7058,4851.423,2266
INDEX.CSI300,D,20211130,190000,4857.183,4871.2179,4810.4326,4832.026,2746
INDEX.CSI300,D,20211201,190000,4831.8885,4844.5242,4824.0421,4843.851,2904
INDEX.CSI300,D,20211202,190000,4839.9137,4866.8505,4830.3228,4856.163,3050
INDEX.CSI300,D,20211203,190000,4856.9802,4901.0175,4853.3979,4901.0175,2895
INDEX.CSI300,D,20211206,190000,4909.4292,4943.8163,4889.0759,4892.6209,2227
INDEX.CSI300,D,20211207,190000,4930.8261,4934.0973,4895.2924,4922.1015,2838
INDEX.CSI300,D,20211208,190000,4934.4056,4995.9298,4916.0284,4995.9298,2062
INDEX.CSI300,D,20211209,190000,5000.6871,5114.5012,4999.6487,5078.6901,2967
INDEX.CSI300,D,20211210,190000,5046.2677,5060.0554,5035.8818,5055.1172,2132
INDEX.CSI300,D,20211213,190000,5090.0207,5143.7657,5079.7327,5083.8007,2808
INDEX.CSI300,D,20211214,190000,5066.3497,5075.1376,5038.8583,5049.6953,2911
INDEX.CSI300,D,20211215,190000,5036.284,5060.368,5004.1057,5005.8991,3016
INDEX.CSI300,D,20211216,190000,5006.6105,5034.7321,4987.2247,5034.7321,2762
INDEX.CSI300,D,20211217,190000,5021.3385,5022.1067,4954.7592,4954.7599,2058
INDEX.CSI300,D,20211220,190000,4934.9662,4971.0057,4872.754,4880.4178,3042
INDEX.CSI300,D,20211221,190000,4876.5141,4917.7994,4872.9491,4913.4853,2369
INDEX.CSI300,D,20211222,190000,4924.5771,4936.1742,4903.2962,4914.4544,2343
INDEX.CSI300,D,20211223,190000,4924.2912,4948.7389,4906.8513,4948.7389,2200
INDEX.CSI300,D,20211224,190000,4953.0616,4964.9064,4905.9785,4921.3449,2360
INDEX.CSI300,D,20211227,190000,4918.1462,4939.6229,4894.165,4919.3238,2230
INDEX.CSI300,D,20211228,190000,4923.6917,4959.0428,4913.8667,4955.9644,2940
INDEX.CSI300,D,20211229,190000,4958.6455,4958.6455,4883.4804,4883.4804,2227
INDEX.CSI300,D,20211230,190000,4882.1561,4940.178,4878.7566,4921.5109,3063
INDEX.CSI300,D,20211231,190000,4937.463,4949.7699,4923.2683,4940.3733,3082
INDEX.CSI300,D,20220104,190000,4957.9835,4961.4527,4874.5337,4917.7653,2986
INDEX.CSI300,D,20220105,190000,4907.9347,4916.2046,4852.4177,4868.1202,2832
INDEX.CSI300,D,20220106,190000,4842.156,4856.3739,4786.8416,4818.2318,2132
INDEX.CSI300,D,20220107,190000,4824.3181,4856.3888,4818.2699,4822.3689,2196
INDEX.CSI300,D,20220110,190000,4812.23,4844.3928,4780.8424,4844.0451,2936
INDEX.CSI300,D,20220111,190000,4840.0087,4850.879,4791.8854,4797.7735,3002
INDEX.CSI300,D,20220112,190000,4818.8902,4852.7314,4810.928,4845.5787,3028
INDEX.CSI300,D,20220113,190000,4853.0314,4853.0314,4765.2899,4765.9191,2645
INDEX.CSI300,D,20220114,190000,4743.9124,4763.9486,4724.0039,4726.7317,2503
INDEX.CSI300,D,20220117,190000,4728.7595,4775.2385,4727.2115,4767.2762,2880
INDEX.CSI300,D,20220118,190000,4766.7811,4826.296,4747.92,4813.3472,2202
INDEX.CSI300,D,20220119,190000,4815.8106,4828.7522,4756.069,4780.3784,2290
INDEX.CSI300,D,20220120,190000,4778.2616,4845.0048,4777.8972,4823.5091,2219
INDEX.CSI300,D,20220121,190000,4808.7733,4818.3052,4762.7433,4779.3142,2857
INDEX.CSI300,D,20220124,190000,4753.9413,4801.0976,4746.4479,4786.7377,2904
INDEX.CSI300,D,20220125,190000,4761.95,4781.3393,4678.2472,4678.4511,2927
INDEX.CSI300,D,20220126,190000,4697.0991,4718.6152,4648.1283,4712.3109,2821
INDEX.CSI300,D,20220127,190000,4708.0989,4708.0989,4616.0273,4619.8765,3035
INDEX.CSI300,D,20220128,190000,4641.8137,4660.519,4559.8331,4563.772,2759
INDEX.CSI300,D,20220207,190000,4638.5754,4672.0681,4615.0052,4634.0899,2662
INDEX.CSI300,D,20220208,190000,4626.4365,4626.4365,4522.4709,4608.7729,2294
INDEX.CSI300,D,20220209,190000,4608.1491,4659.4076,4595.7717,4652.0609,2800
INDEX.CSI300,D,20220210,190000,4657.2107,4657.2107,4608.2786,4639.8625,3014
INDEX.CSI300,D,20220211,190000,4617.8741,4662.5921,4595.8867,4601.3953,2888
INDEX.CSI300,D,20220214,190000,4579.4202,4593.6321,4530.1684,4551.6878,2990
INDEX.CSI300,D,20220215,190000,4553.8112,4601.453,4550.543,4600.1025,2542
INDEX.CSI300,D,20220216,190000,4619.8458,4642.9658,4607.2971,4617.9893,2155
INDEX.CSI300,D,20220217,190000,4616.8955,4650.0302,4607.0825,4629.1649,2538
INDEX.CSI300,D,20220218,190000,4604.5669,4651.3415,4598.1003,4651.2358,2208
INDEX.CSI300,D,20220221,190000,4646.0522,4646.6724,4613.4364,4634.3141,2814
INDEX.CSI300,D,20220222,190000,4601.9184,4601.9184,4550.8913,4574.1527,2284
INDEX.CSI300,D,20220223,190000,4582.0064,4625.2979,4579.2945,4623.0465,2406
INDEX.CSI300,D,20220224,190000,4592.069,4610.8792,4488.5903,4529.3189,2525
INDEX.CSI300,D,20220225,190000,4564.6321,4611.7567,4561.9812,4573.4247,2278
INDEX.CSI300,D,20220228,190000,4563.7427,4581.6459,4530.8376,4581.6459,2994
